winningTeam,blueTeamWardsPlaced,blueTeamKills,blueTeamTotalJungleMinionsKilled,blueTeamTotalMinionsKilled,blueTeamAvgLevel,blueTeamCsPerMinute,blueTeamGoldPerMinute,redTeamWardsDestroyed,redTeamKills,redTeamTotalJungleMinionsKilled,redTeamTotalMinionsKilled,redTeamAvgLevel,redTeamCsPerMinute,redTeamGoldPerMinute
1,60,10,76.6,293.2,8.88,24.65,1359.22,4,7,80.8,309.1,8.78,25.99,1410.01
1,308,9,67.8,271.2,8.42,22.6,1388.76,5,7,71.1,251.7,8.48,21.52,1225.02
1,73,20,72.3,244.9,8.4,21.15,1519.89,5,5,66.0,263.0,8.08,21.93,1286.91
0,36,7,65.5,254.0,8.3,21.3,1279.13,11,14,69.6,299.8,8.74,24.63,1578.07
1,42,12,56.4,258.2,8.08,20.97,1458.28,8,9,70.0,268.7,8.34,22.58,1384.76
1,26,8,74.1,254.1,8.6,21.88,1335.13,6,6,73.2,318.9,8.8,26.14,1317.29
1,63,13,64.3,272.3,8.62,22.44,1431.45,7,14,67.4,279.1,8.56,23.1,1575.04
0,42,8,70.9,268.2,8.58,22.61,1297.83,22,14,70.2,282.7,8.66,23.53,1568.21
1,75,15,73.6,268.1,8.66,22.78,1460.38,5,7,77.2,258.2,8.26,22.36,1233.16
1,29,14,74.2,262.7,8.78,22.46,1512.93,4,5,68.8,256.7,8.02,21.7,1211.15
0,36,8,67.7,222.9,8.2,19.37,1256.74,15,14,58.2,293.7,8.6,23.46,1506.75
0,33,6,71.1,313.9,8.5,25.67,1457.05,8,12,81.9,284.9,8.86,24.45,1510.65
0,38,17,50.4,257.9,8.42,20.55,1465.29,7,12,80.6,268.4,8.3,23.27,1477.17
1,45,11,71.5,265.6,8.46,22.47,1456.04,17,13,66.7,278.0,8.5,22.98,1486.93
0,39,6,66.1,290.0,8.64,23.74,1340.91,9,5,81.3,286.5,8.94,24.52,1373.56
1,33,14,59.7,264.2,8.2,21.59,1493.9,11,17,79.8,244.7,8.34,21.63,1455.73
0,23,2,74.2,294.7,8.66,24.59,1230.46,4,14,85.3,291.4,8.96,25.11,1459.73
1,37,12,75.3,252.6,8.5,21.86,1475.76,11,9,60.7,262.7,8.46,21.56,1400.21
1,36,18,81.8,282.0,8.78,24.25,1561.43,9,10,78.1,302.1,8.64,25.35,1457.89
1,31,13,73.2,275.3,8.8,23.23,1499.98,9,7,65.2,260.9,8.34,21.74,1298.45
0,68,10,80.6,278.1,8.56,23.91,1356.14,10,10,80.8,260.1,8.78,22.73,1460.72
1,27,10,54.6,268.3,8.4,21.53,1437.47,10,13,78.2,267.6,8.66,23.05,1398.63
1,34,10,72.2,264.7,8.62,22.46,1338.75,8,7,80.6,255.7,8.66,22.42,1295.09
1,36,7,85.0,301.1,8.88,25.74,1534.67,6,7,73.6,282.6,8.72,23.75,1346.73
0,69,10,57.7,278.3,8.42,22.4,1380.23,12,9,74.9,288.9,8.4,24.25,1372.59
1,30,13,71.8,234.9,8.5,20.45,1415.45,8,11,68.0,259.4,8.5,21.83,1378.89
1,31,9,85.4,287.5,8.8,24.86,1372.53,8,6,72.1,269.2,8.48,22.75,1344.97
1,32,16,83.8,293.5,8.94,25.15,1533.09,9,7,81.2,287.8,8.66,24.6,1334.43
0,25,9,54.0,287.0,8.36,22.73,1426.98,8,12,60.9,268.2,8.32,21.94,1374.13
1,34,16,78.1,293.5,8.9,24.77,1533.35,10,9,62.9,253.6,8.44,21.1,1371.93
1,32,9,65.6,293.0,8.72,23.91,1413.13,6,6,65.8,268.0,8.44,22.25,1297.41
1,33,12,82.2,289.7,8.84,24.79,1368.41,10,6,74.2,281.1,8.66,23.69,1293.21
1,72,18,71.6,278.8,8.58,23.36,1570.29,5,8,75.6,256.4,8.48,22.13,1277.65
1,79,8,77.0,296.0,8.76,24.87,1355.87,8,2,79.2,292.6,8.68,24.79,1250.04
1,37,10,92.4,272.3,8.66,24.31,1443.19,13,11,37.5,286.3,8.46,21.59,1369.28
0,304,15,66.4,266.0,8.4,22.16,1446.13,7,8,72.5,252.1,8.2,21.64,1393.9
1,29,17,85.0,278.7,8.9,24.25,1531.8,6,9,63.2,270.7,8.5,22.26,1318.91
1,53,9,88.9,281.9,8.72,24.72,1393.42,10,9,79.6,253.1,8.24,22.18,1312.03
1,28,11,81.6,244.6,8.54,21.75,1415.95,5,5,81.4,260.2,8.56,22.77,1279.37
0,45,7,84.8,234.3,8.54,21.27,1294.08,5,13,76.8,296.6,8.84,24.89,1486.73
1,33,7,84.2,265.6,8.4,23.32,1347.01,10,9,80.6,269.5,8.42,23.34,1364.33
1,37,12,86.4,294.7,8.78,25.41,1474.72,8,6,82.7,291.1,8.64,24.92,1290.92
0,48,23,69.2,255.6,8.42,21.65,1819.52,13,27,42.6,236.9,8.34,18.63,1651.44
0,38,9,58.7,276.2,8.56,22.33,1345.17,9,10,80.2,280.9,8.52,24.07,1551.55
1,32,20,72.4,258.6,8.42,22.07,1658.21,10,16,75.2,218.1,8.08,19.55,1430.02
1,26,4,84.3,270.4,8.66,23.65,1304.55,3,7,80.1,261.6,8.94,22.78,1318.05
1,27,7,73.3,296.3,8.54,24.64,1333.81,6,10,76.2,244.7,8.6,21.39,1344.53
1,353,15,73.4,267.1,8.7,22.7,1446.33,10,19,78.4,254.3,8.72,22.18,1514.55
1,40,9,65.4,293.3,8.64,23.91,1428.75,7,4,77.6,270.9,8.5,23.23,1242.19
0,35,14,80.0,290.1,8.7,24.67,1491.79,10,13,72.0,293.7,8.58,24.38,1488.25
1,71,12,80.6,271.0,8.62,23.44,1434.78,11,10,65.2,259.8,8.26,21.67,1372.47
0,29,11,80.2,300.1,8.86,25.35,1443.75,4,14,88.6,266.6,8.82,23.68,1448.5
1,29,6,78.8,268.9,8.42,23.18,1342.43,2,15,54.2,256.6,8.48,20.72,1457.45
0,28,4,82.8,270.8,8.86,23.57,1289.06,6,5,86.5,318.1,8.92,26.97,1303.7
0,38,7,74.4,273.7,8.5,23.21,1293.54,11,5,78.0,284.6,8.72,24.17,1346.37
0,29,12,77.8,257.0,8.4,22.32,1414.39,3,18,57.6,253.9,8.42,20.77,1508.71
0,79,5,68.1,221.0,8.2,19.27,1217.97,5,23,84.0,256.2,8.92,22.68,1714.54
0,28,5,51.5,274.2,8.24,21.71,1263.35,12,19,69.8,288.3,8.72,23.87,1533.17
1,31,23,55.5,246.2,8.58,20.11,1667.93,3,8,62.8,238.1,8.18,20.06,1360.15
1,27,21,82.0,209.4,8.36,19.43,1471.65,5,16,60.6,226.3,8.04,19.13,1431.65
1,27,8,74.6,273.3,8.76,23.19,1347.71,8,11,63.6,269.2,8.6,22.19,1391.73
1,81,14,73.9,236.4,8.24,20.69,1443.12,1,16,62.6,247.2,8.34,20.65,1456.74
1,26,12,79.1,278.8,8.74,23.86,1405.45,6,11,65.2,248.0,8.48,20.88,1357.97
1,70,8,61.7,271.7,8.48,22.23,1296.78,7,8,69.0,261.7,8.48,22.05,1294.55
0,32,10,75.8,242.5,8.72,21.22,1333.93,6,9,64.2,266.5,8.64,22.05,1329.73
0,98,9,79.4,282.9,8.78,24.15,1359.85,6,11,65.4,276.3,8.66,22.78,1398.47
1,63,6,78.8,283.8,8.82,24.17,1342.02,6,6,74.8,288.7,8.82,24.23,1277.22
1,57,9,69.1,281.2,8.74,23.35,1402.79,4,11,58.9,241.2,8.54,20.01,1334.71
0,60,13,66.4,229.5,8.5,19.73,1445.67,7,14,77.7,241.7,8.4,21.29,1352.35
0,64,8,65.4,240.9,8.4,20.42,1312.13,6,17,66.0,312.5,9.02,25.23,1571.8
0,25,6,71.0,238.6,8.32,20.64,1279.17,8,12,80.6,284.1,8.86,24.31,1465.51
1,28,19,68.4,293.6,8.96,24.13,1579.64,5,7,79.0,244.3,8.32,21.55,1307.9
1,21,19,77.2,268.8,9.02,23.07,1610.27,4,8,52.3,220.8,7.96,18.21,1283.95
1,28,13,87.7,267.9,8.72,23.71,1458.53,3,10,49.0,249.5,8.14,19.9,1309.78
0,18,12,53.3,250.3,8.26,20.24,1410.12,5,22,72.0,227.3,8.78,19.95,1600.45
0,42,4,71.8,245.8,8.3,21.17,1289.69,6,7,75.9,231.8,8.48,20.51,1239.45
1,39,10,63.5,255.4,8.42,21.26,1351.71,8,15,71.2,240.1,8.74,20.75,1493.35
1,30,17,86.0,296.7,9.12,25.51,1488.67,4,7,72.6,255.7,8.48,21.89,1279.11
0,95,8,72.2,270.9,8.76,22.87,1285.45,2,2,71.8,285.9,8.68,23.85,1218.45
1,61,12,59.1,240.7,8.58,19.99,1396.23,5,11,80.8,253.8,8.66,22.31,1403.13
0,32,3,75.6,214.8,8.28,19.36,1176.81,6,9,76.2,297.0,8.9,24.88,1455.11
1,42,10,71.2,279.1,8.64,23.35,1372.57,9,10,74.8,236.1,8.32,20.73,1330.44
1,25,11,73.2,269.5,8.88,22.85,1296.09,6,7,75.0,264.0,8.68,22.6,1341.72
1,28,18,78.6,254.6,8.6,22.21,1442.33,8,11,52.2,212.6,8.12,17.65,1254.79
1,63,9,70.4,267.3,8.68,22.51,1295.63,4,12,81.4,272.8,8.8,23.61,1364.87
0,28,8,59.6,264.9,8.46,21.63,1320.43,5,13,81.2,237.5,8.78,21.25,1437.31
1,20,16,69.4,304.8,8.86,24.95,1583.25,3,8,63.4,238.9,8.44,20.15,1349.67
1,82,16,75.8,275.4,8.82,23.41,1448.65,5,5,59.1,254.7,8.16,20.92,1202.15
0,18,3,71.7,293.2,8.38,24.33,1283.15,3,13,72.9,265.5,8.68,22.56,1355.02
1,23,7,59.6,268.0,8.5,21.84,1305.03,4,9,84.0,257.3,8.56,22.75,1319.31
1,31,16,72.8,278.1,8.94,23.39,1510.39,6,9,70.9,292.1,8.7,24.2,1445.93
0,26,17,55.4,224.4,8.28,18.65,1505.21,6,20,47.5,234.4,8.3,18.79,1543.53
1,27,18,75.2,271.4,8.84,23.11,1545.67,4,13,71.4,256.7,8.58,21.87,1365.32
1,28,12,62.1,212.8,8.24,18.33,1311.97,10,14,66.2,257.1,8.64,21.55,1492.56
0,25,16,67.3,246.9,8.48,20.95,1402.67,3,12,64.6,282.8,8.6,23.16,1447.17
1,27,11,82.9,282.1,8.72,24.33,1483.0,5,9,36.1,238.5,7.9,18.31,1254.87
1,23,11,72.2,277.7,8.78,23.33,1390.33,6,8,77.5,260.2,8.54,22.51,1304.5
1,139,13,79.0,282.1,8.92,24.07,1485.18,8,6,64.8,262.1,8.36,21.79,1285.03
1,41,16,63.0,262.8,8.6,21.72,1464.81,5,8,72.7,259.1,8.58,22.12,1334.83
0,50,7,57.2,230.4,7.96,19.17,1300.57,8,20,70.4,236.2,8.32,20.44,1505.52
0,37,9,91.2,246.9,8.5,22.54,1306.35,6,16,67.7,291.2,8.88,23.93,1530.07
0,103,16,72.2,281.6,8.78,23.59,1472.83,8,7,76.2,253.2,8.38,21.96,1308.07
1,49,7,57.8,246.1,8.18,20.26,1260.87,8,8,70.6,258.1,8.46,21.91,1340.25
1,360,16,72.4,286.4,8.76,23.92,1544.13,4,12,49.6,230.5,8.5,18.67,1308.39
0,242,11,63.8,264.1,8.34,21.86,1424.55,7,17,48.9,266.2,8.62,21.01,1423.01
0,34,7,106.7,241.7,8.68,23.23,1245.32,9,12,64.4,269.3,8.64,22.25,1368.92
0,27,15,65.0,269.3,8.94,22.29,1440.07,5,9,76.9,290.3,8.68,24.48,1305.12
1,38,17,60.8,269.0,8.36,21.99,1515.65,8,16,56.6,204.7,7.88,17.42,1335.5
0,26,13,76.2,265.5,8.6,22.78,1335.03,6,6,65.9,269.6,8.32,22.37,1282.77
0,18,2,65.8,243.8,8.08,20.64,1195.73,5,18,81.9,262.1,8.82,22.93,1516.99
1,31,12,77.0,260.3,8.78,22.49,1396.11,9,10,78.8,275.5,8.7,23.62,1332.21
1,144,8,64.3,242.2,8.34,20.43,1290.43,2,18,84.1,277.8,8.7,24.13,1602.39
0,27,7,72.4,262.4,8.48,22.32,1307.12,4,6,91.7,253.7,8.76,23.03,1275.95
0,14,6,71.3,233.0,8.26,20.29,1222.91,6,17,70.8,271.9,8.6,22.85,1516.37
0,25,9,79.8,256.3,8.62,22.41,1324.61,3,8,48.8,289.9,8.62,22.58,1337.51
1,25,13,61.4,245.2,8.5,20.44,1408.26,7,13,74.2,320.3,8.82,26.3,1606.97
1,357,12,85.2,248.2,8.84,22.23,1430.79,11,10,81.6,242.9,8.5,21.63,1385.41
0,27,5,72.3,213.0,8.38,19.02,1217.08,6,16,60.1,261.2,8.66,21.42,1447.79
1,31,16,61.9,249.7,8.38,20.77,1496.06,3,8,66.4,265.2,8.46,22.11,1365.09
1,19,20,83.4,264.4,9.18,23.19,1529.69,4,12,71.2,227.7,8.48,19.93,1298.03
1,31,6,74.5,294.5,8.56,24.6,1301.91,10,7,82.3,295.3,8.64,25.17,1305.51
1,56,7,73.2,303.2,8.76,25.09,1369.09,6,8,71.5,258.4,8.78,21.99,1300.29
0,38,9,78.1,290.1,8.66,24.55,1386.85,5,11,64.1,292.6,8.52,23.78,1342.89
0,26,6,82.2,271.5,8.72,23.58,1256.84,6,8,63.2,261.7,8.52,21.66,1285.93
1,33,17,64.4,222.5,8.44,19.13,1433.29,6,18,62.0,240.9,8.38,20.19,1501.27
1,28,12,60.2,230.9,8.3,19.41,1360.5,4,20,67.0,295.1,8.9,24.14,1732.79
0,37,9,66.1,281.7,8.66,23.19,1348.56,8,11,79.2,268.5,8.82,23.18,1391.75
0,22,8,66.3,265.0,8.56,22.09,1315.72,8,15,66.1,248.5,8.46,20.97,1405.03
1,29,19,59.0,275.8,8.46,22.32,1643.13,5,10,76.8,239.6,8.52,21.09,1404.39
0,34,10,54.6,257.7,8.22,20.82,1338.89,6,8,73.7,258.5,8.56,22.15,1370.43
1,33,16,82.2,275.5,8.82,23.85,1558.48,4,5,74.5,222.7,8.36,19.81,1161.07
1,26,12,71.3,240.3,8.64,20.77,1328.35,6,8,71.0,259.0,8.52,22.0,1310.19
0,57,7,63.6,272.3,8.54,22.39,1279.6,4,20,88.6,279.7,8.98,24.55,1582.06
1,23,17,68.4,258.8,8.7,21.81,1474.76,3,11,65.3,260.1,8.54,21.69,1378.8
1,43,14,72.6,265.4,8.72,22.53,1467.41,6,7,72.2,250.0,8.34,21.48,1326.51
0,32,12,81.4,237.6,8.54,21.27,1396.94,8,14,58.4,253.1,8.46,20.77,1434.45
1,30,11,73.3,271.7,8.52,23.0,1412.11,10,14,67.0,265.4,8.44,22.16,1367.4
1,25,17,73.5,218.6,8.32,19.47,1356.98,7,16,74.8,251.4,8.52,21.75,1493.31
0,83,15,81.2,219.1,8.5,20.02,1460.77,3,9,52.8,233.7,8.1,19.1,1291.01
1,24,14,74.2,230.6,8.34,20.32,1419.51,6,15,76.4,228.5,8.5,20.33,1489.12
1,31,15,84.2,273.1,8.8,23.82,1502.67,3,6,70.8,264.2,8.44,22.33,1278.67
1,46,25,90.2,235.1,9.08,21.69,1653.15,3,8,71.3,239.3,8.26,20.71,1334.37
0,30,16,68.3,237.4,8.6,20.38,1482.71,2,13,55.4,250.4,8.56,20.39,1381.72
1,32,11,60.1,262.8,8.26,21.53,1349.21,5,6,78.6,246.1,8.16,21.65,1274.33
0,26,20,76.4,261.7,8.58,22.54,1586.53,6,17,60.6,236.1,8.36,19.78,1505.54
0,40,18,67.0,225.1,8.42,19.47,1424.52,1,13,80.6,259.3,8.48,22.66,1413.19
0,26,14,54.4,239.3,8.02,19.58,1439.09,5,13,75.6,213.3,8.28,19.26,1351.1
1,31,13,76.5,273.0,8.56,23.3,1549.83,10,9,67.1,251.4,8.2,21.23,1312.13
0,32,15,62.0,232.7,8.4,19.65,1429.88,6,14,50.1,247.4,8.42,19.83,1430.68
0,71,15,60.5,205.0,8.0,17.7,1369.87,3,22,60.0,229.4,8.36,19.29,1584.2
1,29,26,75.1,232.3,8.36,20.49,1647.18,1,8,47.5,176.8,7.46,14.95,1189.76
1,29,14,68.4,289.8,8.6,23.88,1560.62,2,6,68.6,261.6,8.12,22.01,1293.69
0,26,10,78.1,255.6,8.48,22.25,1319.71,3,10,68.6,268.6,8.56,22.48,1384.26
1,25,22,60.2,259.7,8.26,21.33,1693.43,3,5,65.2,206.9,7.54,18.14,1205.36
0,39,12,77.8,268.0,8.74,23.05,1380.75,7,13,80.6,295.7,8.86,25.09,1485.37
1,28,10,86.8,297.9,8.8,25.65,1400.17,6,9,85.6,286.1,8.56,24.78,1462.98
1,30,22,76.5,267.8,9.02,22.95,1532.59,1,4,76.9,221.4,8.08,19.89,1159.32
1,36,8,72.4,269.0,8.58,22.76,1319.89,5,15,78.2,244.2,8.8,21.49,1327.86
0,311,13,58.6,228.2,8.24,19.12,1340.81,8,11,63.2,239.0,8.38,20.15,1282.08
1,14,7,73.7,275.8,8.66,23.3,1383.19,5,13,70.3,277.6,8.92,23.19,1427.97
1,30,6,62.8,257.7,8.32,21.37,1275.23,5,13,50.8,214.9,8.22,17.71,1336.77
0,24,6,80.5,245.6,8.64,21.74,1248.03,4,12,79.7,265.1,8.84,22.99,1466.61
1,22,13,71.4,267.0,8.76,22.56,1513.7,7,6,69.1,262.7,8.36,22.12,1277.51
0,28,13,62.5,228.6,8.3,19.41,1335.17,5,21,52.6,238.2,8.52,19.39,1472.7
0,26,16,50.2,240.6,8.22,19.39,1485.75,5,22,72.9,268.0,8.66,22.73,1650.83
0,25,6,59.1,265.9,8.54,21.67,1242.79,6,9,65.8,251.2,8.64,21.13,1301.32
0,27,8,78.6,230.3,8.62,20.59,1284.86,5,12,63.7,249.7,8.6,20.89,1335.4
1,22,12,91.2,289.5,9.04,25.38,1392.81,7,7,63.2,276.3,8.48,22.63,1278.11
0,25,12,77.0,256.1,8.62,22.21,1396.65,1,8,68.6,268.9,8.54,22.5,1328.68
1,27,16,69.7,253.1,8.6,21.52,1473.44,3,7,66.7,226.6,8.38,19.55,1228.49
1,41,12,75.0,278.3,8.66,23.55,1414.81,5,8,70.6,228.9,8.06,19.97,1189.73
0,28,12,51.0,244.9,8.24,19.73,1353.21,9,16,53.2,235.0,8.36,19.21,1465.11
1,21,15,67.1,269.3,8.78,22.43,1496.8,14,11,63.2,263.7,8.44,21.79,1378.55
1,36,17,51.4,257.8,8.4,20.61,1401.83,3,13,70.8,245.2,8.14,21.07,1407.99
1,17,10,63.2,266.3,8.66,21.97,1401.11,1,8,71.8,216.2,8.38,19.2,1230.09
0,46,19,68.6,267.5,8.62,22.41,1590.24,6,12,52.6,247.2,8.3,19.99,1384.76
0,29,5,62.8,222.4,8.22,19.01,1289.71,3,15,72.4,246.0,8.54,21.23,1386.0
1,26,10,60.3,237.4,8.32,19.85,1368.12,5,15,58.1,241.4,8.22,19.97,1410.53
1,144,7,68.8,283.2,8.6,23.47,1344.81,5,8,70.4,277.7,8.7,23.21,1368.99
1,31,15,52.9,261.7,8.6,20.97,1431.53,9,14,74.4,264.4,8.64,22.59,1476.63
1,46,15,54.8,262.1,8.42,21.13,1345.57,7,18,78.8,266.3,8.66,23.01,1517.53
1,30,22,71.1,229.7,8.8,20.05,1538.37,6,13,79.8,229.0,8.48,20.59,1390.93
1,29,8,66.5,282.8,8.6,23.29,1359.5,6,11,75.6,279.4,8.66,23.67,1383.97
1,21,13,68.8,275.3,8.76,22.94,1384.97,2,2,69.5,238.5,8.36,20.53,1192.34
0,30,20,74.1,242.2,8.52,21.09,1624.25,5,18,72.4,226.1,8.22,19.9,1434.57
0,28,6,53.8,236.4,8.1,19.35,1218.84,7,12,78.1,273.3,8.64,23.43,1354.29
0,22,11,51.7,199.8,7.74,16.77,1224.23,1,22,69.5,246.0,8.64,21.03,1539.65
0,29,8,49.8,261.9,8.32,20.78,1334.48,6,20,78.8,298.2,9.0,25.13,1574.24
1,51,16,60.2,278.6,8.42,22.59,1612.1,7,8,67.5,278.8,8.44,23.09,1356.97
0,33,4,73.2,270.2,8.62,22.89,1232.45,4,9,76.8,278.2,8.8,23.67,1274.22
0,26,7,74.4,285.3,8.56,23.98,1343.64,4,8,64.3,256.3,8.52,21.37,1332.16
0,63,12,65.0,262.9,8.56,21.86,1337.33,8,9,77.8,287.7,8.68,24.37,1421.35
1,238,11,73.5,243.1,8.7,21.11,1374.79,3,10,80.0,274.2,8.76,23.61,1422.43
1,21,16,83.2,263.4,8.64,23.11,1554.87,6,19,74.2,278.4,8.82,23.51,1562.46
0,21,10,67.6,273.1,8.58,22.71,1449.48,1,12,75.7,279.8,8.7,23.7,1452.46
0,25,3,78.4,284.8,8.64,24.21,1327.07,4,15,80.5,272.7,8.86,23.55,1397.68
0,33,11,66.0,250.1,8.44,21.07,1364.79,2,11,101.1,234.1,8.82,22.35,1484.17
0,43,15,65.4,261.9,8.7,21.82,1505.27,7,11,69.6,232.2,8.58,20.12,1348.47
0,33,15,69.6,268.5,8.3,22.54,1561.36,10,13,81.6,251.8,8.18,22.23,1416.83
0,149,7,87.6,264.6,8.58,23.48,1371.29,2,13,70.7,292.3,8.74,24.2,1442.26
1,37,14,65.6,280.4,8.72,23.07,1467.2,4,7,63.8,265.3,8.52,21.94,1245.56
0,25,5,70.0,242.4,8.36,20.83,1284.27,2,13,80.8,293.2,8.86,24.93,1432.91
1,42,8,75.5,270.0,8.7,23.03,1354.15,4,6,55.9,242.2,8.58,19.87,1234.57
0,31,7,69.4,265.3,8.7,22.31,1329.35,10,13,70.0,298.0,8.96,24.53,1505.39
0,74,5,57.6,271.3,8.38,21.93,1253.27,30,10,67.0,264.1,8.56,22.07,1332.0
0,57,7,72.7,259.1,8.48,22.12,1295.7,8,14,69.2,265.7,8.74,22.33,1428.83
1,23,14,89.3,293.6,8.94,25.53,1527.33,6,7,46.1,250.9,8.26,19.8,1281.28
1,24,11,85.3,259.3,8.82,22.97,1364.68,6,8,77.0,290.6,8.58,24.51,1303.67
0,24,13,76.4,236.3,8.66,20.85,1347.37,4,14,71.6,271.1,8.88,22.85,1509.21
0,23,16,72.7,267.9,8.76,22.71,1532.26,8,7,75.3,266.1,8.64,22.76,1281.77
0,24,8,77.0,237.2,8.08,20.95,1285.95,6,10,81.6,276.0,8.58,23.84,1393.16
1,35,14,72.8,271.4,8.78,22.95,1441.86,5,10,66.8,232.9,8.74,19.98,1342.91
0,31,17,50.4,209.6,7.96,17.33,1466.15,1,13,68.2,224.8,8.32,19.53,1380.62
1,25,3,81.4,253.3,8.26,22.31,1253.88,8,11,56.4,260.1,8.4,21.1,1384.81
1,31,19,75.0,257.1,8.46,22.14,1473.29,4,10,74.0,237.2,8.42,20.75,1406.89
0,59,7,72.1,228.4,8.48,20.03,1237.75,9,10,71.5,298.6,9.0,24.67,1472.15
1,27,14,85.6,248.7,8.58,22.29,1364.37,4,7,50.4,229.9,8.22,18.69,1287.8
